"","id","ances","weight","date","ances.date"
"1",1,9,0,2009-05-29,2009-05-28
"2",2,81,0,2009-05-07,2009-05-06
"3",3,122,2,2009-05-19,2009-04-02
"4",4,122,2,2009-05-21,2009-04-02
"5",5,244,2,2009-05-26,2009-04-28
"6",6,131,0,2009-04-29,2009-04-20
"7",7,71,0,2009-06-01,2009-05-26
"8",8,118,0,2009-06-05,2009-06-02
"9",9,89,0,2009-05-28,2009-05-27
"10",10,122,2,2009-04-24,2009-04-02
"11",11,246,0,2009-04-24,2009-04-23
"12",12,25,0,2009-04-28,2009-04-27
"13",13,337,0,2009-05-01,2009-04-30
"14",14,104,0,2009-05-20,2009-05-19
"15",15,31,2,2009-05-24,2009-05-04
"16",16,14,2,2009-05-22,2009-05-20
"17",17,14,0,2009-05-21,2009-05-20
"18",18,17,0,2009-05-28,2009-05-21
"19",19,15,0,2009-05-29,2009-05-24
"20",20,18,0,2009-05-30,2009-05-28
"21",21,14,2,2009-05-24,2009-05-20
"22",22,10,0,2009-04-29,2009-04-24
"23",23,10,0,2009-04-29,2009-04-24
"24",24,22,0,2009-04-30,2009-04-29
"25",25,11,0,2009-04-27,2009-04-24
"26",26,184,0,2009-04-26,2009-04-25
"27",27,379,0,2009-05-08,2009-05-07
"28",28,176,0,2009-04-16,2009-03-30
"29",29,26,8,2009-05-07,2009-04-26
"30",30,27,2,2009-05-17,2009-05-08
"31",31,122,2,2009-05-04,2009-04-02
"32",32,122,2,2009-04-30,2009-04-02
"33",33,32,2,2009-05-08,2009-04-30
"34",34,36,0,2009-05-07,2009-05-06
"35",35,36,0,2009-05-07,2009-05-06
"36",36,32,0,2009-05-06,2009-04-30
"37",37,122,4,2009-07-01,2009-04-02
"38",38,101,0,2009-05-26,2009-05-08
"39",39,31,0,2009-06-03,2009-05-04
"40",40,156,0,2009-05-27,2009-05-26
"41",41,40,0,2009-05-29,2009-05-27
"42",42,40,0,2009-05-29,2009-05-27
"43",43,122,2,2009-05-22,2009-04-02
"44",44,387,0,2009-05-23,2009-05-11
"45",45,359,2,2009-05-10,2009-04-28
"46",46,80,0,2009-05-23,2009-05-22
"47",47,46,0,2009-05-24,2009-05-23
"48",48,41,0,2009-05-31,2009-05-29
"49",49,331,0,2009-05-10,2009-05-09
"50",50,61,0,2009-05-23,2009-05-20
"51",51,52,0,2009-05-23,2009-05-15
"52",52,244,0,2009-05-15,2009-04-28
"53",53,336,0,2009-05-17,2009-05-07
"54",54,20,0,2009-05-31,2009-05-30
"55",55,10,2,2009-06-13,2009-04-24
"56",56,43,0,2009-05-28,2009-05-22
"57",57,356,2,2009-06-29,2009-05-01
"58",58,46,2,2009-06-06,2009-05-23
"59",59,47,0,2009-05-28,2009-05-24
"60",60,328,0,2009-06-17,2009-05-23
"61",61,27,0,2009-05-20,2009-05-08
"62",62,122,4,2009-06-25,2009-04-02
"63",63,320,0,2009-04-29,2009-04-26
"64",64,399,0,2009-06-04,2009-06-03
"65",65,399,0,2009-06-04,2009-06-03
"66",66,122,2,2009-05-24,2009-04-02
"67",67,66,0,2009-05-26,2009-05-24
"68",68,66,0,2009-05-26,2009-05-24
"69",69,46,0,2009-05-24,2009-05-23
"70",70,331,0,2009-05-10,2009-05-09
"71",71,50,0,2009-05-26,2009-05-23
"72",72,70,0,2009-05-28,2009-05-10
"73",73,75,2,2009-05-01,2009-04-30
"74",74,76,0,2009-05-11,2009-05-01
"75",75,87,0,2009-04-30,2009-04-29
"76",76,75,0,2009-05-01,2009-04-30
"77",77,87,0,2009-04-30,2009-04-29
"78",78,122,4,2009-04-29,2009-04-02
"79",79,242,0,2009-05-17,2009-05-05
"80",80,74,0,2009-05-22,2009-05-11
"81",81,82,0,2009-05-06,2009-05-05
"82",82,88,0,2009-05-05,2009-05-04
"83",83,121,0,2009-06-02,2009-06-01
"84",84,125,2,2009-04-28,2009-04-13
"85",85,26,0,2009-04-27,2009-04-26
"86",86,63,0,2009-05-02,2009-04-29
"87",87,85,0,2009-04-29,2009-04-27
"88",88,313,0,2009-05-04,2009-05-02
"89",89,47,0,2009-05-27,2009-05-24
"90",90,150,2,2009-07-01,2009-05-08
"91",91,264,4,2009-07-12,2009-04-25
"92",92,89,4,2009-06-17,2009-05-27
"93",93,89,0,2009-06-14,2009-05-27
"94",94,373,0,2009-06-06,2009-06-05
"95",95,122,2,2009-05-17,2009-04-02
"96",96,97,0,2009-05-17,2009-05-16
"97",97,397,0,2009-05-16,2009-05-14
"98",98,397,0,2009-05-16,2009-05-14
"99",99,397,0,2009-05-16,2009-05-14
"100",100,97,0,2009-05-17,2009-05-16
"101",101,244,2,2009-05-08,2009-04-28
"102",102,179,2,2009-06-07,2009-04-09
"103",103,121,0,2009-06-02,2009-06-01
"104",104,354,0,2009-05-19,2009-05-18
"105",105,8,0,2009-06-06,2009-06-05
"106",106,105,0,2009-06-09,2009-06-06
"107",107,311,0,2009-06-07,2009-05-01
"108",108,311,0,2009-06-07,2009-05-01
"109",109,106,0,2009-06-11,2009-06-09
"110",110,112,0,2009-06-23,2009-06-18
"111",111,105,0,2009-06-09,2009-06-06
"112",112,427,0,2009-06-18,2009-06-17
"113",113,81,2,2009-06-29,2009-05-06
"114",114,14,0,2009-05-21,2009-05-20
"115",115,51,0,2009-06-03,2009-05-23
"116",116,107,0,2009-06-13,2009-06-07
"117",117,356,0,2009-06-11,2009-05-01
"118",118,44,0,2009-06-02,2009-05-23
"119",119,7,0,2009-06-16,2009-06-01
"120",120,7,0,2009-06-16,2009-06-01
"121",121,54,0,2009-06-01,2009-05-31
"122",122,176,2,2009-04-02,2009-03-30
"123",123,122,0,2009-04-03,2009-04-02
"124",124,123,0,2009-04-07,2009-04-03
"125",125,122,2,2009-04-13,2009-04-02
"126",126,128,0,2009-04-15,2009-04-14
"127",127,122,2,2009-04-14,2009-04-02
"128",128,124,0,2009-04-14,2009-04-07
"129",129,126,0,2009-04-20,2009-04-15
"130",130,122,2,2009-04-20,2009-04-02
"131",131,132,0,2009-04-20,2009-04-19
"132",132,122,2,2009-04-19,2009-04-02
"133",133,122,2,2009-04-19,2009-04-02
"134",134,132,0,2009-04-20,2009-04-19
"135",135,126,0,2009-04-20,2009-04-15
"136",136,176,14,2009-04-25,2009-03-30
"137",137,124,0,2009-04-14,2009-04-07
"138",138,176,4,2009-04-25,2009-03-30
"139",139,141,0,2009-04-29,2009-04-28
"140",140,141,0,2009-04-29,2009-04-28
"141",141,129,0,2009-04-28,2009-04-20
"142",142,141,0,2009-04-29,2009-04-28
"143",143,122,2,2009-04-27,2009-04-02
"144",144,265,4,2009-04-29,2009-04-26
"145",145,122,2,2009-04-25,2009-04-02
"146",146,122,2,2009-04-25,2009-04-02
"147",147,260,0,2009-04-29,2009-04-28
"148",148,143,2,2009-06-26,2009-04-27
"149",149,81,0,2009-05-07,2009-05-06
"150",150,2,0,2009-05-08,2009-05-07
"151",151,325,0,2009-05-20,2009-05-07
"152",152,80,0,2009-05-23,2009-05-22
"153",153,122,6,2009-05-22,2009-04-02
"154",154,156,0,2009-06-04,2009-05-26
"155",155,122,2,2009-05-21,2009-04-02
"156",156,122,2,2009-05-26,2009-04-02
"157",157,124,2,2009-06-03,2009-04-07
"158",158,97,2,2009-07-09,2009-05-16
"159",159,122,4,2009-05-02,2009-04-02
"160",160,2,0,2009-05-08,2009-05-07
"161",161,160,0,2009-05-30,2009-05-08
"162",162,40,0,2009-05-29,2009-05-27
"163",163,17,0,2009-05-22,2009-05-21
"164",164,4,0,2009-05-30,2009-05-21
"165",165,354,0,2009-05-19,2009-05-18
"166",166,17,0,2009-05-22,2009-05-21
"167",167,122,2,2009-05-06,2009-04-02
"168",168,122,4,2009-05-06,2009-04-02
"169",169,25,0,2009-04-28,2009-04-27
"170",170,122,2,2009-04-22,2009-04-02
"171",171,122,2,2009-04-26,2009-04-02
"172",172,184,0,2009-04-26,2009-04-25
"173",173,172,0,2009-04-27,2009-04-26
"174",174,185,0,2009-04-28,2009-04-27
"175",175,176,4,2009-04-01,2009-03-30
"176",176,NA,NA,2009-03-30,NA
"177",177,176,0,2009-04-16,2009-03-30
"178",178,175,4,2009-04-09,2009-04-01
"179",179,175,0,2009-04-09,2009-04-01
"180",180,382,0,2009-04-24,2009-04-22
"181",181,176,4,2009-04-22,2009-03-30
"182",182,176,2,2009-04-21,2009-03-30
"183",183,182,4,2009-04-25,2009-04-21
"184",184,11,0,2009-04-25,2009-04-24
"185",185,186,0,2009-04-27,2009-04-26
"186",186,180,0,2009-04-26,2009-04-24
"187",187,25,0,2009-04-28,2009-04-27
"188",188,25,0,2009-04-28,2009-04-27
"189",189,25,0,2009-04-28,2009-04-27
"190",190,25,0,2009-04-28,2009-04-27
"191",191,26,0,2009-04-27,2009-04-26
"192",192,122,2,2009-04-27,2009-04-02
"193",193,185,0,2009-04-28,2009-04-27
"194",194,125,0,2009-04-24,2009-04-13
"195",195,122,4,2009-04-22,2009-04-02
"196",196,122,2,2009-04-24,2009-04-02
"197",197,122,2,2009-04-24,2009-04-02
"198",198,125,0,2009-04-24,2009-04-13
"199",199,122,2,2009-04-30,2009-04-02
"200",200,378,0,2009-05-01,2009-04-27
"201",201,344,2,2009-04-30,2009-04-29
"202",202,12,0,2009-04-29,2009-04-28
"203",203,204,0,2009-04-26,2009-04-25
"204",204,11,0,2009-04-25,2009-04-24
"205",205,122,2,2009-04-26,2009-04-02
"206",206,75,0,2009-05-01,2009-04-30
"207",207,206,0,2009-05-04,2009-05-01
"208",208,26,0,2009-04-27,2009-04-26
"209",209,25,0,2009-04-28,2009-04-27
"210",210,217,0,2009-04-25,2009-04-24
"211",211,217,0,2009-04-25,2009-04-24
"212",212,217,0,2009-04-25,2009-04-24
"213",213,217,0,2009-04-25,2009-04-24
"214",214,217,0,2009-04-25,2009-04-24
"215",215,217,0,2009-04-25,2009-04-24
"216",216,217,0,2009-04-25,2009-04-24
"217",217,246,0,2009-04-24,2009-04-23
"218",218,217,0,2009-04-25,2009-04-24
"219",219,217,0,2009-04-25,2009-04-24
"220",220,217,0,2009-04-25,2009-04-24
"221",221,246,0,2009-04-24,2009-04-23
"222",222,246,0,2009-04-24,2009-04-23
"223",223,246,0,2009-04-24,2009-04-23
"224",224,246,0,2009-04-24,2009-04-23
"225",225,246,0,2009-04-24,2009-04-23
"226",226,246,0,2009-04-24,2009-04-23
"227",227,217,0,2009-04-25,2009-04-24
"228",228,217,0,2009-04-25,2009-04-24
"229",229,217,2,2009-04-25,2009-04-24
"230",230,217,0,2009-04-25,2009-04-24
"231",231,217,0,2009-04-25,2009-04-24
"232",232,25,0,2009-04-28,2009-04-27
"233",233,122,2,2009-05-11,2009-04-02
"234",234,246,0,2009-04-24,2009-04-23
"235",235,236,0,2009-05-05,2009-04-30
"236",236,355,0,2009-04-30,2009-04-27
"237",237,315,0,2009-04-25,2009-04-24
"238",238,315,0,2009-04-25,2009-04-24
"239",239,25,0,2009-04-28,2009-04-27
"240",240,184,0,2009-04-26,2009-04-25
"241",241,122,2,2009-04-26,2009-04-02
"242",242,13,0,2009-05-05,2009-05-01
"243",243,87,0,2009-04-30,2009-04-29
"244",244,122,2,2009-04-28,2009-04-02
"245",245,128,0,2009-04-15,2009-04-14
"246",246,245,0,2009-04-23,2009-04-15
"247",247,124,0,2009-04-14,2009-04-07
"248",248,247,2,2009-04-25,2009-04-14
"249",249,197,4,2009-04-25,2009-04-24
"250",250,361,0,2009-04-23,2009-04-14
"251",251,361,0,2009-04-23,2009-04-14
"252",252,175,2,2009-04-15,2009-04-01
"253",253,247,0,2009-04-24,2009-04-14
"254",254,197,0,2009-04-26,2009-04-24
"255",255,369,0,2009-04-27,2009-04-26
"256",256,248,2,2009-04-29,2009-04-25
"257",257,246,0,2009-04-24,2009-04-23
"258",258,313,0,2009-05-04,2009-05-02
"259",259,26,0,2009-04-27,2009-04-26
"260",260,376,0,2009-04-28,2009-04-27
"261",261,378,0,2009-05-04,2009-04-27
"262",262,378,0,2009-05-04,2009-04-27
"263",263,26,0,2009-04-27,2009-04-26
"264",264,122,2,2009-04-25,2009-04-02
"265",265,122,2,2009-04-26,2009-04-02
"266",266,315,0,2009-04-25,2009-04-24
"267",267,294,0,2009-04-29,2009-04-27
"268",268,282,0,2009-04-27,2009-04-26
"269",269,274,0,2009-04-29,2009-04-28
"270",270,269,0,2009-04-30,2009-04-29
